d_mse,d_ae
0.581488219562396,0.3728656548804494
0.03798672327413666,0.011252835947527906
0.5025711612365475,0.2194293975199555
0.700793758596608,0.6112906800395681
0.23690154799353358,0.11297379496878257
0.34719993158924845,0.4399774404984038
-0.04276832658565666,-0.018057156049977152
-0.0363676549407311,-0.10640649159541837
0.029989733290466652,0.09850204936413842
-1.6559501759675612,-0.30703561501504417
-0.0266210205680523,-0.11008763673720168
-0.4962428632727862,-0.21317929587920315
-1.1587901654213586,-0.3227278665906663
0.018084644586554278,0.056909785480179664
0.012906606965877351,0.04253897774668225
-0.010157092078645732,-0.08828828258168997
0.1590375775311783,0.06578092890965159
-0.9909455436218466,-0.3451889727400008
0.8267743484855377,0.2735324316400831
0.4415496662226768,0.20733097761682906
-0.6069602586765273,-0.15209863196214357
0.22669529242824116,0.3316446041424399
0.1692251816819448,0.18623238125620212
0.14362981887137447,0.17681424046019245
-0.15700891625197455,-0.0400847956986059
0.03769906577826254,0.06649240269828915
-0.047892063549806525,-0.18107183879615363
-0.025509658466242834,-0.10437672919571117
-0.3044252895068085,-0.538835609849885
0.5130456481611967,0.09886976943637116
1.4020824553484936,0.3596957293482932
0.009505092011621924,0.08981547951251212
-0.12848890970819474,-0.29801122481457654
-1.0008438988705528,-0.22702702275562547
0.46024315810276706,0.15223451633982155
-0.19384208774596123,-0.33296049923539783
0.4763342636122685,0.20605945582112284
-1.5346328960533684,-0.9514335204997835
-7.341798967587226e-4,-0.004398738769626931
0.03144626183175995,0.12843944179190014
1.2500723614303393,0.19588753421703586
0.00434291015210112,0.03937389140305125
-1.9306914525243748,-0.18994298222562556
-1.2488971499112282,-0.308459685845035
-0.5596246896876869,-0.2636074633916916
0.16804205623724844,0.2300340076644387
-0.06597952059046394,-0.18478443616367102
0.07278509756089924,0.03456912315148486
-0.13468638834022095,-0.0794943763208682
-0.042501639135121616,-0.017790365633267413
0.2872690116832235,0.0663444560555595
2.7683821396193786,0.6380990381482841
0.04564313909703198,0.07410217384492146
0.0620919200863036,0.06361839037767147
0.7644775418848127,0.31525747478590205
-0.08677604244339698,-0.039103434678250615
-0.398969903972497,-0.07410217384492146
0.3275538224768797,0.13676513096860177
-0.0475850857598652,-0.016138537814367915
-0.003034220510931478,-0.03941755356413523
-1.1724433553409528,-0.40489513203773697
-0.002701331262241327,-0.004071569724485968
-2.804552055884552,-0.7199923940680799
0.4676320567187222,0.1562613589769608
-0.2467962940424555,-0.11008763673720168
0.3221869731033742,0.07048560630347556
1.0260514396056204,0.39154590788685084
0.0047080309911206675,0.061073864045514625
-0.03126163026811595,-0.1645842868307792
-0.5759709411687499,-0.25669684999328357
-0.01898334387799272,-0.006990853743159775
0.23868983454078577,0.2249085956052035
-0.4883544239500208,-0.22984860338686985
-0.8499175451639522,-0.2099442916532963
0.12352675248539756,0.21709481955955745
-3.963703801163632,-0.5644698777911525
-0.4014441898086192,-0.14887569678269053
0.33121108613464467,0.16161972216935006
-0.09025711561698957,-0.0407014008905664
-0.07844304014546566,-0.018501839421904975
-0.7558937201945444,-0.49664908029884813
-0.2467962940424555,-0.11008763673720168
-0.0013288256910787,-0.0015699093485288529
0.11915075895976032,0.23856989620462876
-1.0537902657754303,-0.3300884833128759
-0.0412046305228272,-0.1309823503714611
0.018084644586554278,0.056909785480179664
2.813632254006297,0.9251618957567018
-0.893138309153521,-0.15163606310855826
0.018084644586554278,0.056909785480179664
0.018084644586554278,0.056909785480179664
0.018084644586554278,0.056909785480179664
0.018084644586554278,0.056909785480179664
0.30067151744477955,0.445856438393335
0.7892710116549415,0.30760598794364835
-0.2189767571307939,-0.1139100834031117
-0.03579357510831868,-0.039804392724738236
-1.0127530037147006,-0.2015167452064448
0.6800141343609941,0.7044476819487056
-0.013648245725792381,-0.07242748412130595
-0.013648245725792381,-0.07242748412130595
0.018084644586554278,0.056909785480179664
0.1376486641052821,0.12618364411392147
-0.14341118416059737,-0.14587527889714025
-2.6370903280556046,-0.37393937421535917
0.09903824203229616,0.03838349315372813
-1.3395522694672894,-0.5359565471781051
0.018084644586554278,0.056909785480179664
0.14331331833406935,0.02460159751862534
2.282216363200674,0.5787641540493302
0.003072954236089467,0.022754128476986324
0.2568417746171563,0.07076890478908826
-1.1095868783105018,-0.2903173740654914
-0.2948949352057193,-0.0533119614239812
0.6141175170269424,0.12889704900813115
-0.9002892616630422,-0.18446307479568347
-0.002701331262241327,-0.004071569724485968
-0.3751464288432744,-0.2194293975199555
0.11285537667720623,0.2180206438599086
-2.02353473715195,-0.6899207594706125
